Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
28345,Hana Shmp Purple Bliss 21ml,5.5,5.8,-768,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28347,Hana Shmp Green Fresh 21ml,5.5,5.8,-870,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28349,8784 Magic Flakes 10+2/28g-P,46.2,49.45,-30,4.80E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28351,2654 Refresh Mneral Water 24/500ml-P,168,176.5,-2,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28352,Ajinomoto Vetsin Blue 18/10g,46.33,48.65,-3404,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28354,Ajinomoto Vetsin Yellow 8/22g,5.17,6,-183,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28356,Alfonso I Light Brandy 3/1l-P,0,883.35,0,4.81E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28358,Caress Adult Diaper Bsc M 20+2-P,0,350.9,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28360,Caress Adult Diaper Bsc L 20+2-P,0,442.4,0,4.80E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28362,Tender Care Pwd Clsc Mild 25g,12.19,12.8,-7,8.85E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28364,Tender Care Pwd Clsc Mild 5+1/25-P,0,62.95,0,4.81E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28366,Similac Gain Fonmlk 6-12mosbx 1.8kg,0,2901.55,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28368,Similac Gainpls Gupmlk 1-3yrs Bx1.8,0,2302.6,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28370,Similac Gainschl Psmlk 3+ Bx 1.8kg,0,2025.85,0,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28375,Gleam Muriatic Acid Household 4l,0,215.25,0,4.80E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28377,2427 Gt Cof White Twn 10+1/50g-P,111.11,116.65,-1248,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28379,Lm I.Pc Mx&Mch Xtrahot Chlmnsi 79g,13.3,14.5,-971,4.81E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28381,Lm I.Pc Mx&Mch Swtspcy Chlmnsi 79g,13.3,14.5,-812,4.81E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28383,8779magic Flakes Jr Cheese 13g,0,2.95,-10,4.80E+12,"SNACKS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28386,Milo Choco Drink Activ-Go 160g,46.63,48.95,-263,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28388,56208nissin Cup Scy Bf Mni 3+1-P,0,61.4,-96,4.80E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28390,Mccormick Mix Pepper Steak 45g,0,35.15,0,4.81E+12,"FROZEN, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28392,Quaker Oats Creal Drnk Org 12/29g,0,120.7,0,9.56E+12,"CEREAL, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28394,Quaker Cookie Oaties Hnynuts 28g,0,10.75,0,4.80E+12,"CEREAL, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28396,Alpo Adult Beef Liver Veg 1.5kg,0,309.6,0,8.85E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28398,Alpo Adult Beef Liver Veg 3kg,0,572.45,0,8.85E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28400,Alpo Puppy Beef Veg 1.3kg,0,309.6,0,8.85E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28402,Alpo Puppy Beef Veg 2.6kg,0,572.45,0,8.85E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28404,Ariel Pwd 6srf+3fp+3gb 70g 1s-P,116.75,122.6,-54,4.99E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
